datetime,v1,v2,v1_roll,v2_roll,roll_corr
2025-07-31 23:00:00,4624430089.298667,11706.0,,,
2025-07-31 23:00:30,4624460880.450667,11698.666666666666,,,
2025-07-31 23:01:00,4624491421.734667,11428.666666666666,,,
2025-07-31 23:01:30,4624522243.553333,11129.333333333334,,,
2025-07-31 23:02:00,4624553062.443334,11107.0,,,
2025-07-31 23:02:30,4624583850.099667,11088.666666666666,,,
2025-07-31 23:03:00,4624614149.268333,11085.333333333334,,,
2025-07-31 23:03:30,4624644571.56,11071.333333333334,,,
2025-07-31 23:04:00,4624674856.215667,11074.333333333334,,,
2025-07-31 23:04:30,4624705145.167333,11072.666666666666,4624568026.979167,11246.2,-0.8385785802689188
2025-07-31 23:05:00,4624735417.663334,11069.333333333334,4624583244.314091,11230.121212121212,-0.8151168131357601
2025-07-31 23:05:30,4624765737.11,11082.0,4624598452.047084,11217.77777777778,-0.7876450351186688
2025-07-31 23:06:00,4624795829.154,11086.333333333334,4624613634.901462,11207.666666666666,-0.7609649028670366
2025-07-31 23:06:30,4624826211.524333,11068.666666666666,4624628818.945952,11197.738095238095,-0.7435102331714155
2025-07-31 23:07:00,4624856389.317666,11064.0,4624643990.304067,11188.822222222223,-0.7284923189302972
2025-07-31 23:07:30,4624886534.686667,11073.333333333334,4624659149.327979,11181.604166666666,-0.7105160710559757
2025-07-31 23:08:00,4624916782.109333,11100.666666666666,4624674304.197471,11176.843137254902,-0.6834089329306594
2025-07-31 23:08:30,4624947247.215,11125.666666666666,4624689467.698444,11174.0,-0.6491994721515446
2025-07-31 23:09:00,4624976987.320666,11119.0,4624704600.310141,11171.105263157895,-0.6216564401530529
2025-07-31 23:09:30,4625006948.113667,10916.333333333334,4624719717.700316,11158.366666666667,-0.6575042928355707
2025-07-31 23:10:00,4625037042.810333,10914.666666666666,4624734828.419841,11146.761904761905,-0.6851475675036505
2025-07-31 23:10:30,4622203867.146333,11095.333333333334,4624619784.725591,11144.424242424242,-0.1693767321786519
2025-07-31 23:11:00,4620802313.632667,11093.0,4624453807.721551,11142.188405797102,-0.05276902094870944
2025-07-31 23:11:30,4620832198.424333,11085.333333333334,4624302907.334167,11139.819444444445,-0.004991174903758635
2025-07-31 23:12:00,4620862494.9523325,11081.0,4624165290.838894,11137.466666666667,0.026740827051581845
2025-07-31 23:12:30,4620892277.661667,11094.333333333334,4624039405.716692,11135.807692307691,0.04361712287005124
2025-07-31 23:13:00,4620921671.989667,11095.333333333334,4623923934.097173,11134.308641975307,0.05643512659907232
2025-07-31 23:13:30,4620951106.557667,11108.0,4623817761.685048,11133.369047619048,0.06242884493035336
2025-07-31 23:14:00,4620980740.912666,11121.666666666666,4623719933.382551,11132.965517241379,0.06314461464979301
2025-07-31 23:14:30,4621010550.752,11097.0,4623629620.628201,11131.766666666666,0.07120415561930832
2025-07-31 23:15:00,4621040587.091,11093.666666666666,4623516637.221278,11111.355555555556,0.027583962102643935
2025-07-31 23:15:30,4621070415.779,11107.0,4623403621.732223,11091.633333333333,-0.09751871989484598
2025-07-31 23:16:00,4621101166.462334,11082.333333333334,4623290613.223145,11080.08888888889,-0.30637298040054567
2025-07-31 23:16:30,4621131368.583,11063.333333333334,4623177584.0574665,11077.888888888887,-0.31991479233772013
2025-07-31 23:17:00,4621161123.226666,11081.333333333334,4623064519.416911,11077.033333333333,-0.3385146549476765
2025-07-31 23:17:30,4621191057.534667,11093.333333333334,4622951426.33141,11077.18888888889,-0.35511484770605983
2025-07-31 23:18:00,4621220757.685666,11094.333333333334,4622838313.278656,11077.488888888887,-0.37086399377757795
2025-07-31 23:18:30,4621250476.550334,11094.333333333334,4622725176.778334,11078.255555555555,-0.37715873510216485
2025-07-31 23:19:00,4621280252.311,11081.0,4622612023.314845,11078.47777777778,-0.3792579716221963
2025-07-31 23:19:30,4621310334.762333,11087.0,4622498862.968011,11078.955555555556,-0.383838250888999
2025-07-31 23:20:00,4621340359.139667,11094.0,4622385694.350555,11079.77777777778,-0.38867446195836236
2025-07-31 23:20:30,4621370159.436,11099.666666666666,4622272508.428088,11080.366666666667,-0.4076280869754535
2025-07-31 23:21:00,4621400445.475667,11116.333333333334,4622159328.972144,11081.366666666667,-0.4357785766511394
2025-07-31 23:21:30,4621430867.128333,11114.0,4622046150.825611,11082.87777777778,-0.44514792443516993
2025-07-31 23:22:00,4621461427.975333,11096.666666666666,4621932985.447534,11083.966666666667,-0.4477273507589717
2025-07-31 23:22:30,4621492052.847333,11090.0,4621819836.052889,11084.52222222222,-0.46408238887250647
2025-07-31 23:23:00,4621522408.250667,11087.333333333334,4621706690.2576,11084.077777777778,-0.5354359216081915
2025-07-31 23:23:30,4621552873.270333,11075.333333333334,4621593544.459444,11082.4,-0.6953541646282111
2025-07-31 23:24:00,4621583939.888667,11081.333333333334,4621480442.878377,11081.144444444444,-0.9268160360519484
2025-07-31 23:24:30,4621615274.751333,11095.666666666666,4621367387.099634,11087.122222222222,-0.8634450361401368
2025-07-31 23:25:00,4621646349.221,11095.666666666666,4621254363.979989,11093.155555555557,-0.01960659645741501
2025-07-31 23:25:30,4621677456.613334,11088.666666666666,4621236816.962222,11092.933333333332,-0.06622378066971377
2025-07-31 23:26:00,4621708027.168,11092.666666666666,4621267007.4134,11092.922222222223,-0.06704674077733894
2025-07-31 23:26:30,4621738310.314334,11088.333333333334,4621297211.143066,11093.02222222222,-0.1263333896380357
2025-07-31 23:27:00,4621768543.468667,11083.333333333334,4621327412.760278,11093.1,-0.2323436815555819
